+-----+--------------------------------------------+-------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+
|  ID | Registry name                              | Biome name              |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  |
| 159 | advancedrocketry:stormland                 | Stormland               |    0.90 | MEDIUM   | 0.90 | false | false   |            | HOT, WASTELAND, WET                                               | stronghold                 |
| 160 | minecraft:mutated_redwood_taiga            | Mega Spruce Taiga       |    0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES        | stronghold                 |
| 161 | minecraft:mutated_redwood_taiga_hills      | Redwood Taiga Hills M   |    0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, HILLS, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES | stronghold                 |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M        |    0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                            | stronghold                 |
| 163 | minecraft:mutated_savanna                  | Savanna M               |    1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE                         | stronghold                 |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M       |    1.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE                            | stronghold                 |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)            |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                                  | stronghold                 |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M        |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SPARSE                                     | stronghold                 |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M          |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                                  | stronghold                 |
| 168 | advancedrocketry:crystalchasms             | CrystalChasms           |    0.10 | COLD     | 0.20 | false | false   |            | COLD, PLAINS                                                      | stronghold                 |
| 169 | advancedrocketry:deepswamp                 | DeepSwamp               |    0.90 | MEDIUM   | 0.90 | false | false   |            | HOT, WET                                                          |                            |
| 170 | advancedrocketry:marsh                     | Marsh                   |    0.50 | MEDIUM   | 0.50 | false | false   |            | HOT, WET                                                          |                            |
| 171 | advancedrocketry:oceanspires               | OceanSpires             |    0.50 | MEDIUM   | 0.50 | false | false   |            | OCEAN, WATER                                                      |                            |
| 172 | advancedrocketry:moondark                  | MoonDark                |    0.30 | MEDIUM   | 0.00 | false | false   |            | COLD, DRY, WASTELAND                                              | stronghold                 |
| 173 | advancedrocketry:volcanic                  | Volcanic                |    1.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, WASTELAND                                     |                            |
| 174 | advancedrocketry:volcanicbarren            | VolcanicBarren          |    1.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, WASTELAND                                     |                            |
| 175 | rats:ratlantis                             | ratlantis               |    0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, WET                                           | stronghold                 |
+-----+--------------------------------------------+-------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+
|  ID | Registry name                              | Biome name              |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  |
+-----+--------------------------------------------+-------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+
