<liquid:aerotheum>, Zephyrean Aerotheum
<liquid:lithium6>, Molten Lithium-6
<liquid:lithium7>, Molten Lithium-7
<liquid:low_pressure_steam>, Low Pressure Steam
<liquid:low_quality_steam>, Low Quality Steam
<liquid:lubricant>, Lubricant
<liquid:lumium>, Molten Lumium
<liquid:magnesium>, Molten Magnesium
<liquid:magnesium_nak>, Eutectic NaK-Magnesium Mixture
<liquid:magnesium_nak_hot>, Hot Eutectic NaK-Magnesium Mixture
<liquid:mana>, Primal Mana
<liquid:manasteel>, Molten Manasteel
<liquid:manganese>, Molten Manganese
<liquid:manganese_dioxide>, Molten Manganese Dioxide
<liquid:manyullyn>, Molten Manyullyn
<liquid:marshmallow>, Liquid Marshmallow
<liquid:mead>, Mead
<liquid:meat>, Liquid Meat
<liquid:menrilresin>, Menril Resin
<liquid:methanol>, Methanol
<liquid:milk>, Milk
<liquid:milk_chocolate>, Molten Milk Chocolate
<liquid:milk_friesian>, Friesian Milk
<liquid:milk_goat>, Goat Milk
<liquid:milk_holstein>, Holstein Milk
<liquid:milk_jersey>, Jersey Milk
<liquid:milk_sheep>, Sheep Milk
<liquid:mirion>, Molten Mirion
<liquid:mithril>, Molten Mithril
<liquid:molten_reinforced_pink_slime>, Molten Reinforced Pink Slime
<liquid:mushroom_stew>, Mushroom Stew
<liquid:mutagen>, Mutagen
<liquid:nak>, Eutectic NaK Alloy
<liquid:nak_hot>, Hot Eutectic NaK Alloy
<liquid:naoh>, Molten Sodium Hydroxide
<liquid:napalm>, Napalm
<liquid:neptunium_236>, Molten Neptunium-236
<liquid:neptunium_236_fluoride>, Molten Neptunium-236 Fluoride
<liquid:neptunium_236_fluoride_flibe>, Molten FLiBe Salt Solution of Neptunium-236 Fluoride
<liquid:neptunium_237>, Molten Neptunium-237
<liquid:neptunium_237_fluoride>, Molten Neptunium-237 Fluoride
<liquid:neptunium_237_fluoride_flibe>, Molten FLiBe Salt Solution of Neptunium-237 
<liquid:neutron>, Neutron Fluid
<liquid:nickel>, Molten Nickel
<liquid:nitrogen>, Nitrogen
<liquid:nutrient_distillation>, Nutrient Distillation
<liquid:obsidian>, Molten Obsidian
<liquid:oil>, Crude Oil
<liquid:oliveoil>, Olive Oil
<liquid:osgloglas>, Molten Osgloglas
<liquid:osmiridium>, Molten Osmiridium
<liquid:osmium>, Molten Osmium
<liquid:oxygen>, Oxygen
<liquid:oxygen_difluoride>, Oxygen Difluoride
<liquid:petrotheum>, Tectonic Petrotheum
<liquid:pigiron>, Molten Pigiron
<liquid:plantoil>, Plant Oil
<liquid:plasma>, Plasma
<liquid:platinum>, Molten Platinum
<liquid:plutonium>, Molten Plutonium
<liquid:plutonium_238>, Molten Plutonium-238
<liquid:plutonium_238_fluoride>, Molten Plutonium-238 Fluoride
<liquid:plutonium_238_fluoride_flibe>, Molten FLiBe Salt Solution of Plutonium-238 Fluoride
<liquid:plutonium_239>, Molten Plutonium-239
<liquid:plutonium_239_fluoride>, Molten Plutonium-239 Fluoride
<liquid:plutonium_239_fluoride_flibe>, Molten FLiBe Salt Solution of Plutonium-239 Fluoride
<liquid:plutonium_241>, Molten Plutonium-241
<liquid:plutonium_241_fluoride>, Molten Plutonium-241 Fluoride
<liquid:plutonium_241_fluoride_flibe>, Molten FLiBe Salt Solution of Plutonium-241 Fluoride
<liquid:plutonium_242>, Molten Plutonium-242
<liquid:plutonium_242_fluoride>, Molten Plutonium-242 Fluoride
<liquid:plutonium_242_fluoride_flibe>, Molten FLiBe Salt Solution of Plutonium-242 Fluoride
<liquid:plutonium_fluoride>, Molten Plutonium Fluoride
<liquid:plutonium_fluoride_flibe>, Molten FLiBe Salt Solution of Plutonium Fluoride
<liquid:poison>, Poison
<liquid:potassium>, Molten Potassium
<liquid:potassium_fluoride_solution>, Potassium Fluoride Solution
<liquid:potassium_hydroxide_solution>, Potassium Hydroxide Solution
<liquid:potion>, Potion
<liquid:potion_lingering>, Lingering Potion
<liquid:potion_splash>, Splash Potion
<liquid:preheated_water>, Preheated Water
<liquid:protein>, Protein
<liquid:prudentium>, Molten Prudentium
<liquid:psimetal>, Molten Psimetal
<liquid:pulsating_iron>, Molten Pulsating Iron
<liquid:pure_metal>, Pure Metal
<liquid:purifying_fluid>, Purifying Fluid
<liquid:purpleslime>, Liquid Purple Slime
<liquid:pyrotheum>, Blazing Pyrotheum
<liquid:quartz>, Molten Quartz
<liquid:quartz_nak>, Eutectic NaK-Quartz Mixture
<liquid:quartz_nak_hot>, Hot Eutectic NaK-Quartz Mixture
<liquid:radaway>, RadAway Fluid
<liquid:redstone>, Destabilized Redstone
<liquid:redstone_alloy>, Molten Redstone Alloy
<liquid:redstone_nak>, Eutectic NaK-Redstone Mixture
<liquid:redstone_nak_hot>, Hot Eutectic NaK-Redstone Mixture
<liquid:refined_biofuel>, Grassoline
<liquid:refined_fuel>, Refined Fuel
<liquid:refined_oil>, Naphtha
<liquid:refinedcanolaoil>, Refined Canola Oil
<liquid:refinedglowstone>, Refined Glowstone
<liquid:refinedobsidian>, Molten Refined Obsidian
<liquid:resin>, Resin
<liquid:rocket_fuel>, Rocket Fuel
<liquid:rocketfuel>, Rocket Fuel
<liquid:sand>, Quicksand
<liquid:sap>, Sap
<liquid:seed.oil>, Seed Oil
<liquid:seed_oil>, Seed Oil
<liquid:sewage>, Sewage
<liquid:short.mead>, Short Mead
<liquid:sic_vapor>, Silicon Carbide Vapor
<liquid:signalum>, Molten Signalum
<liquid:silver>, Molten Silver
<liquid:slop>, Slop
<liquid:sludge>, Sludge
<liquid:sodium>, Molten Sodium
<liquid:sodium_fluoride_solution>, Sodium Fluoride Solution
<liquid:sodium_hydroxide_solution>, Sodium Hydroxide Solution
<liquid:soularium>, Molten Soularium
<liquid:soulium>, Molten Soulium
<liquid:steam>, Steam
<liquid:steel>, Molten Steel
<liquid:stone>, Seared Stone
<liquid:sugar>, Molten Sugar
<liquid:sulfur>, Molten Sulfur
<liquid:sulfur_dioxide>, Sulfur Dioxide
<liquid:sulfur_trioxide>, Sulfur Trioxide
<liquid:sulfuric_acid>, Sulfuric Acid
<liquid:sulfuricacid>, Sulfuric Acid
<liquid:superium>, Molten Superium
<liquid:supremium>, Molten Supremium
<liquid:syngas>, Syngas
<liquid:syrup>, Syrup
<liquid:terrasteel>, Molten Terrasteel
<liquid:thaumium>, Molten Thaumium
<liquid:thorium>, Molten Thorium
<liquid:thorium_230>, Molten Thorium-230
<liquid:thorium_230_fluoride>, Molten Thorium-230 Fluoride
<liquid:thorium_230_fluoride_flibe>, Molten FLiBe Salt Solution of Thorium-230 Fluoride
<liquid:thorium_232>, Molten Thorium-232
<liquid:thorium_232_fluoride>, Molten Thorium-232 Fluoride
<liquid:thorium_232_fluoride_flibe>, Molten FLiBe Salt Solution of Thorium-232 Fluoride
<liquid:thorium_fluoride>, Molten Thorium Fluoride
<liquid:thorium_fluoride_flibe>, Molten FLiBe Salt Solution of Thorium Fluoride
<liquid:tin>, Molten Tin
<liquid:tin_nak>, Eutectic NaK-Tin Mixture
<liquid:tin_nak_hot>, Hot Eutectic NaK-Tin Mixture
<liquid:titanium>, Molten Titanium
<liquid:tough>, Molten Tough Alloy
<liquid:tree_oil>, Tree Oil
<liquid:tritium>, Tritium
<liquid:unsweetened_chocolate>, Molten Unsweetened Chocolate
<liquid:uranium>, Molten Uranium
<liquid:uranium_233>, Molten Uranium-233
<liquid:uranium_233_fluoride>, Molten Uranium-233 Fluoride
<liquid:uranium_233_fluoride_flibe>, Molten FLiBe Salt Solution of Uranium-233 Fluoride
<liquid:uranium_235>, Molten Uranium-235
<liquid:uranium_235_fluoride>, Molten Uranium-235 Fluoride
<liquid:uranium_235_fluoride_flibe>, Molten FLiBe Salt Solution of Uranium-235 Fluoride
<liquid:uranium_238>, Molten Uranium-238
<liquid:uranium_238_fluoride>, Molten Uranium-238 Fluoride
<liquid:uranium_238_fluoride_flibe>, Molten FLiBe Salt Solution of Uranium-238 Fluoride
<liquid:uranium_fluoride>, Molten Uranium Fluoride
<liquid:uranium_fluoride_flibe>, Molten FLiBe Salt Solution of Uranium Fluoride
<liquid:vapor_of_levity>, Vapor of Levity
<liquid:vibrant_alloy>, Molten Vibrant Alloy
<liquid:water>, Water
<liquid:wildberryjuice>, Wildberry Juice
<liquid:wildberrywine>, Wildberry Wine
<liquid:wine>, Wine
<liquid:witchwater>, Witchwater
<liquid:xpjuice>, Liquid XP
<liquid:xu_demonic_metal>, Molten Demon Metal
<liquid:xu_enchanted_metal>, Enchanted Metal
<liquid:xu_evil_metal>, Evil Infused Iron
<liquid:yellorium>, Fluid Yellorium
<liquid:zinc>, Molten Zinc
